mpg	displacement	horsepower	weight	acceleration	origin
35	72	69	1613	18	japanese
31	76	52	1649	17	japanese
39	79	58	1755	17	japanese
35	81	60	1760	16	japanese
31	71	65	1773	19	japanese
33	91	53	1795	18	japanese
33	91	53	1795	17	japanese
36	98	66	1800	14	american
36	91	60	1800	16	japanese
30	97	71	1825	12	european
36	79	58	1825	19	european
27	97	60	1834	19	european
26	97	46	1835	21	european
32	71	65	1836	21	japanese
30	89	62	1845	15	european
45	91	67	1850	14	japanese
29	68	49	1867	20	european
39	86	64	1875	16	american
36	98	80	1915	14	american
32	89	71	1925	14	european
29	90	70	1937	14	european
29	90	70	1937	14	european
29	97	78	1940	15	european
34	85	70	1945	17	japanese
26	97	46	1950	21	european
31	79	67	1950	19	japanese
26	91	70	1955	21	american
26	79	67	1963	16	european
38	91	67	1965	15	japanese
32	91	67	1965	16	japanese
38	89	60	1968	19	japanese
31	91	68	1970	18	japanese
34	86	65	1975	15	japanese
37	85	65	1975	19	japanese
36	105	74	1980	15	european
43	90	48	1985	22	european
30	97	67	1985	16	japanese
33	78	52	1985	19	japanese
34	91	68	1985	16	japanese
32	89	71	1990	15	european
32	85	70	1990	17	japanese
38	91	67	1995	16	japanese
31	79	67	2000	16	european
32	83	61	2003	19	japanese
37	86	65	2019	16	japanese
32	85	65	2020	19	japanese
37	91	68	2025	18	japanese
29	85	52	2035	22	american
34	98	65	2045	16	american
32	98	68	2045	19	japanese
38	89	62	2050	17	japanese
31	98	63	2051	17	american
30	88	76	2065	15	european
32	97	67	2065	18	japanese
39	85	70	2070	19	japanese
30	79	70	2074	20	european
34	98	83	2075	16	american
44	90	48	2085	22	european
27	97	88	2100	17	japanese
24	90	75	2108	16	european
47	86	65	2110	18	japanese
41	85	65	2110	19	japanese
32	98	70	2120	16	american
28	116	90	2123	14	european
18	70	90	2124	14	japanese
28	90	75	2125	15	american
38	105	63	2125	15	american
36	98	70	2125	17	american
25	97	80	2126	17	american
37	91	69	2130	15	european
44	97	52	2130	25	european
27	97	88	2130	15	japanese
