"mpg"	"displacement"	"horsepower"	"weight"	"acceleration"	"origin"	"groupe"
35	72	69	1613	18	"japanese"	3
31	76	52	1649	17	"japanese"	3
39	79	58	1755	17	"japanese"	3
35	81	60	1760	16	"japanese"	3
31	71	65	1773	19	"japanese"	3
33	91	53	1795	18	"japanese"	3
33	91	53	1795	17	"japanese"	3
36	98	66	1800	14	"american"	2
36	91	60	1800	16	"japanese"	3
30	97	71	1825	12	"european"	2
36	79	58	1825	19	"european"	3
27	97	60	1834	19	"european"	3
26	97	46	1835	21	"european"	3
32	71	65	1836	21	"japanese"	3
30	89	62	1845	15	"european"	2
45	91	67	1850	14	"japanese"	2
29	68	49	1867	20	"european"	3
39	86	64	1875	16	"american"	3
36	98	80	1915	14	"american"	2
32	89	71	1925	14	"european"	2
29	90	70	1937	14	"european"	2
29	90	70	1937	14	"european"	2
29	97	78	1940	15	"european"	2
34	85	70	1945	17	"japanese"	3
26	97	46	1950	21	"european"	3
31	79	67	1950	19	"japanese"	3
26	91	70	1955	21	"american"	3
26	79	67	1963	16	"european"	2
38	91	67	1965	15	"japanese"	2
32	91	67	1965	16	"japanese"	2
38	89	60	1968	19	"japanese"	3
31	91	68	1970	18	"japanese"	3
34	86	65	1975	15	"japanese"	2
37	85	65	1975	19	"japanese"	3
36	105	74	1980	15	"european"	2
43	90	48	1985	22	"european"	3
30	97	67	1985	16	"japanese"	2
33	78	52	1985	19	"japanese"	3
34	91	68	1985	16	"japanese"	2
32	89	71	1990	15	"european"	2
32	85	70	1990	17	"japanese"	3
38	91	67	1995	16	"japanese"	3
31	79	67	2000	16	"european"	2
32	83	61	2003	19	"japanese"	3
37	86	65	2019	16	"japanese"	3
32	85	65	2020	19	"japanese"	3
37	91	68	2025	18	"japanese"	3
29	85	52	2035	22	"american"	3
34	98	65	2045	16	"american"	2
32	98	68	2045	19	"japanese"	3
38	89	62	2050	17	"japanese"	3
31	98	63	2051	17	"american"	3
30	88	76	2065	15	"european"	2
32	97	67	2065	18	"japanese"	3
39	85	70	2070	19	"japanese"	3
30	79	70	2074	20	"european"	3
34	98	83	2075	16	"american"	2
44	90	48	2085	22	"european"	3
27	97	88	2100	17	"japanese"	2
24	90	75	2108	16	"european"	2
47	86	65	2110	18	"japanese"	3
41	85	65	2110	19	"japanese"	3
32	98	70	2120	16	"american"	2
28	116	90	2123	14	"european"	2
18	70	90	2124	14	"japanese"	2
28	90	75	2125	15	"american"	2
38	105	63	2125	15	"american"	2
36	98	70	2125	17	"american"	3
25	97	80	2126	17	"american"	2
37	91	69	2130	15	"european"	2
44	97	52	2130	25	"european"	3
27	97	88	2130	15	"japanese"	2
27	97	88	2130	15	"japanese"	2
30	98	68	2135	17	"japanese"	3
42	98	76	2144	15	"european"	2
34	97	67	2145	18	"japanese"	3
35	105	70	2150	15	"american"	2
30	111	80	2155	15	"american"	2
30	98	68	2155	17	"american"	3
28	97	75	2155	16	"japanese"	2
24	116	75	2158	16	"european"	2
36	120	88	2160	15	"japanese"	2
28	98	80	2164	15	"american"	2
25	98	60	2164	22	"american"	3
29	97	75	2171	16	"japanese"	2
34	97	78	2188	16	"european"	2
26	96	69	2189	18	"european"	3
31	97	78	2190	14	"european"	2
33	105	74	2190	14	"european"	2
34	105	70	2200	13	"american"	2
27	101	83	2202	15	"european"	2
36	107	75	2205	15	"japanese"	2
34	107	75	2210	14	"japanese"	2
35	105	63	2215	15	"american"	2
29	98	83	2219	17	"european"	2
23	122	86	2220	14	"american"	2
25	116	81	2220	17	"european"	2
25	90	71	2223	17	"european"	2
21	122	86	2226	17	"american"	2
25	113	95	2228	14	"japanese"	2
31	105	75	2230	15	"american"	2
26	121	113	2234	13	"european"	2
34	108	70	2245	17	"japanese"	3
26	116	75	2246	14	"european"	2
23	97	54	2254	24	"european"	3
26	98	79	2255	18	"american"	3
28	140	90	2264	16	"american"	2
26	98	90	2265	16	"european"	2
26	97	75	2265	18	"japanese"	3
32	108	75	2265	15	"japanese"	2
24	113	95	2278	16	"japanese"	2
20	97	88	2279	19	"japanese"	3
28	97	92	2288	17	"japanese"	2
32	107	72	2290	17	"japanese"	3
32	135	84	2295	12	"american"	2
26	122	96	2300	16	"american"	2
26	97	78	2300	15	"european"	2
27	119	97	2300	15	"japanese"	2
19	122	85	2310	19	"american"	4
19	70	97	2330	14	"japanese"	2
43	90	48	2335	24	"european"	3
32	108	75	2350	17	"japanese"	3
36	135	84	2370	13	"american"	2
24	113	95	2372	15	"japanese"	2
25	104	95	2375	18	"european"	2
22	108	94	2379	17	"japanese"	2
30	98	65	2380	21	"american"	3
30	135	84	2385	13	"american"	2
26	108	93	2391	16	"japanese"	2
22	122	86	2395	16	"american"	2
34	112	88	2395	18	"american"	3
21	140	72	2401	20	"american"	3
24	119	97	2405	15	"japanese"	2
22	140	72	2408	19	"american"	3
20	140	90	2408	20	"american"	4
24	70	100	2420	13	"japanese"	2
24	107	90	2430	15	"european"	2
37	119	92	2434	15	"japanese"	2
26	122	80	2451	17	"american"	2
28	107	86	2464	16	"european"	2
21	155	107	2472	14	"american"	2
24	120	97	2489	15	"japanese"	2
27	135	84	2490	16	"american"	2
35	122	88	2500	15	"european"	2
23	120	97	2506	15	"japanese"	2
22	121	76	2511	18	"european"	2
21	134	95	2515	15	"japanese"	2
29	135	84	2525	16	"american"	2
25	140	75	2542	17	"american"	2
31	120	75	2542	18	"japanese"	3
24	119	97	2545	17	"japanese"	2
34	151	90	2556	13	"american"	2
28	134	95	2560	14	"japanese"	2
27	140	72	2565	14	"american"	2
25	140	92	2572	15	"american"	2
31	112	85	2575	16	"american"	2
20	114	91	2582	14	"european"	2
26	156	92	2585	15	"american"	2
21	200	85	2587	16	"american"	4
23	140	78	2592	19	"american"	3
29	173	115	2595	11	"american"	2
22	121	110	2600	13	"european"	2
28	112	88	2605	20	"american"	3
33	119	100	2615	15	"japanese"	2
26	156	92	2620	14	"american"	2
28	120	79	2625	19	"american"	3
19	232	100	2634	13	"american"	4
27	151	84	2635	16	"american"	2
32	120	74	2635	18	"japanese"	3
23	140	83	2639	17	"american"	2
27	112	88	2640	19	"american"	3
21	199	90	2648	15	"american"	4
24	121	110	2660	14	"european"	2
32	144	96	2665	14	"japanese"	2
27	121	80	2670	15	"american"	2
28	151	90	2670	16	"american"	2
25	121	115	2671	14	"european"	2
25	110	87	2672	18	"european"	2
28	151	90	2678	17	"american"	2
23	115	95	2694	15	"european"	2
27	173	115	2700	13	"american"	2
24	134	96	2702	14	"japanese"	2
30	134	90	2711	16	"japanese"	2
25	140	88	2720	15	"american"	2
31	119	82	2720	19	"american"	3
22	80	110	2720	14	"japanese"	2
24	173	110	2725	13	"american"	2
27	151	90	2735	18	"american"	2
25	151	88	2740	16	"american"	2
23	156	105	2745	17	"american"	4
26	140	89	2755	16	"american"	2
18	199	97	2774	16	"american"	4
18	232	100	2789	15	"american"	4
27	140	86	2790	16	"american"	2
22	121	115	2795	16	"european"	4
28	156	105	2800	14	"american"	2
20	156	122	2807	14	"japanese"	4
22	146	97	2815	15	"japanese"	2
20	131	103	2830	16	"european"	4
22	198	95	2833	16	"american"	4
22	232	112	2835	15	"american"	4
24	151	85	2855	18	"american"	4
24	140	92	2865	16	"american"	2
19	121	112	2868	16	"european"	4
26	140	88	2870	18	"american"	4
22	140	88	2890	17	"american"	4
25	168	116	2900	13	"japanese"	2
19	232	100	2901	16	"american"	4
23	198	95	2904	16	"american"	4
33	168	132	2910	11	"japanese"	2
20	232	100	2914	16	"american"	4
19	156	108	2930	16	"japanese"	4
24	146	120	2930	14	"japanese"	2
18	121	112	2933	15	"european"	4
18	232	100	2945	16	"american"	4
25	181	110	2945	16	"american"	4
22	121	98	2945	15	"european"	2
27	151	90	2950	17	"american"	2
36	121	67	2950	20	"european"	3
23	120	88	2957	17	"european"	4
18	258	110	2962	14	"american"	4
20	200	85	2965	16	"american"	4
21	120	87	2979	20	"european"	4
18	171	97	2984	15	"american"	4
20	200	85	2990	18	"american"	4
24	151	90	3003	20	"american"	4
24	200	81	3012	18	"american"	4
38	262	85	3015	17	"american"	2
18	250	88	3021	17	"american"	4
21	231	110	3039	15	"american"	4
20	200	88	3060	17	"american"	4
21	200	85	3070	17	"american"	4
23	232	90	3085	18	"american"	4
14	455	225	3086	10	"american"	1
20	198	95	3102	17	"american"	4
18	225	105	3121	17	"american"	4
18	250	88	3139	15	"american"	4
17	163	125	3140	14	"european"	4
20	130	102	3150	16	"european"	4
21	200	95	3155	18	"american"	4
15	250	72	3158	20	"american"	4
31	145	76	3160	20	"european"	3
13	302	129	3169	12	"american"	1
27	141	71	3190	25	"european"	3
18	258	95	3193	18	"american"	4
18	302	139	3205	11	"american"	1
19	232	90	3210	17	"american"	4
19	232	90	3211	17	"american"	4
20	262	110	3221	14	"american"	4
28	141	80	3230	20	"european"	3
22	225	100	3233	15	"american"	4
22	231	115	3245	15	"american"	4
30	146	67	3250	22	"european"	3
19	225	95	3264	16	"american"	4
20	232	90	3265	18	"american"	4
19	120	88	3270	22	"european"	4
16	250	100	3278	18	"american"	4
19	250	100	3282	15	"american"	4
18	232	100	3288	16	"american"	4
19	250	88	3302	16	"american"	4
17	250	100	3329	16	"american"	4
15	250	100	3336	17	"american"	4
22	250	105	3353	15	"american"	4
21	225	110	3360	17	"american"	4
20	260	110	3365	16	"american"	4
21	231	105	3380	16	"american"	4
19	225	90	3381	19	"american"	4
15	318	150	3399	11	"american"	1
18	258	120	3410	15	"american"	4
16	163	133	3410	16	"european"	4
22	231	110	3415	16	"american"	4
24	260	90	3420	22	"american"	4
21	231	105	3425	17	"american"	4
19	305	145	3425	13	"american"	1
21	225	100	3430	17	"american"	4
15	250	72	3432	21	"american"	4
16	304	150	3433	12	"american"	1
18	318	150	3436	11	"american"	1
16	225	105	3439	16	"american"	4
18	231	165	3445	13	"american"	1
17	302	140	3449	11	"american"	1
18	250	105	3459	16	"american"	4
18	225	85	3465	17	"american"	4
18	307	130	3504	12	"american"	1
18	250	110	3520	16	"american"	4
19	250	98	3525	19	"american"	4
25	183	77	3530	20	"european"	4
19	231	105	3535	19	"american"	4
15	383	170	3563	10	"american"	1
20	302	139	3570	13	"american"	1
18	250	78	3574	21	"american"	4
19	267	125	3605	15	"american"	4
14	340	160	3609	8	"american"	1
18	225	105	3613	17	"american"	4
19	225	110	3620	19	"american"	4
19	225	100	3630	18	"american"	4
16	258	110	3632	18	"american"	4
19	250	110	3645	16	"american"	4
20	225	100	3651	18	"american"	4
11	350	180	3664	11	"american"	1
17	304	150	3672	12	"american"	1
14	304	150	3672	12	"american"	1
15	350	165	3693	12	"american"	1
18	302	129	3725	13	"american"	1
27	350	105	3725	19	"american"	4
15	258	110	3730	19	"american"	4
19	318	140	3735	13	"american"	1
13	318	150	3755	14	"american"	1
15	400	150	3761	10	"american"	1
15	318	150	3777	13	"american"	1
16	250	100	3781	17	"american"	4
18	225	95	3785	19	"american"	4
17	168	120	3820	17	"european"	4
13	360	175	3821	11	"american"	1
18	318	135	3830	15	"american"	1
17	305	130	3840	15	"american"	1
15	390	190	3850	9	"american"	1
13	302	130	3870	15	"american"	1
18	305	145	3880	13	"american"	1
15	304	150	3892	13	"american"	1
16	250	105	3897	19	"american"	4
23	350	125	3900	17	"american"	4
17	231	110	3907	21	"american"	4
13	318	150	3940	13	"american"	1
19	360	150	3940	13	"american"	1
17	351	138	3955	13	"american"	1
16	304	120	3962	14	"american"	1
13	350	145	3988	13	"american"	1
14	302	137	4042	15	"american"	1
16	351	142	4054	14	"american"	1
13	350	145	4055	12	"american"	1
